topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_max_utilization,mean_hops,mean_distance_km,mean_decision_latency_ms,requests,served,blocked
irregular12,ga_tcheby_proxy,5,25,0.3116,0.964929847181871,0.424571531238,1.5312,38.5778,0.5,10000,6884,3116
irregular12,ga_tcheby_proxy,5,26,0.3081,0.9649987733776557,0.426811591526,1.5471,39.0363,0.5,10000,6919,3081
irregular12,ga_tcheby_proxy,5,27,0.3038,0.9645264929617925,0.42841842376000006,1.5549,39.2559,0.5,10000,6962,3038
irregular12,ga_tcheby_proxy,5,28,0.3044,0.964723436745256,0.42703478894,1.54,38.8498,0.5,10000,6956,3044
irregular12,ga_tcheby_proxy,5,29,0.3084,0.9650379585020242,0.42634899326799996,1.5378,38.7664,0.5,10000,6916,3084
irregular12,ga_tcheby_proxy,5,30,0.306,0.9651060498559078,0.42523245199599996,1.5396,38.8123,0.5,10000,6940,3060
irregular12,ga_tcheby_proxy,10,1,0.5068,0.9605542398621248,0.27290318928199997,1.102,27.5711,0.5,10000,4932,5068
irregular12,ga_tcheby_proxy,10,2,0.5016,0.9607545662118782,0.27675695704,1.1216,28.0624,0.5,10000,4984,5016
irregular12,ga_tcheby_proxy,10,3,0.5116,0.9607892493857494,0.26753344403400003,1.0941,27.3985,0.5,10000,4884,5116
irregular12,ga_tcheby_proxy,10,4,0.505,0.9612196028282828,0.27269072116799997,1.0992,27.5267,0.5,10000,4950,5050
irregular12,ga_tcheby_proxy,10,5,0.5032,0.9607225837359098,0.275064739307,1.112,27.822,0.5,10000,4968,5032
irregular12,ga_tcheby_proxy,10,6,0.5091,0.960896187818293,0.269389645214,1.1055,27.6238,0.5,10000,4909,5091
irregular12,ga_tcheby_proxy,10,7,0.5093,0.9602450046871814,0.270553513897,1.0952,27.3618,0.5,10000,4907,5093
irregular12,ga_tcheby_proxy,10,8,0.5131,0.9605406046416103,0.265133871382,1.0789,27.0151,0.5,10000,4869,5131
irregular12,ga_tcheby_proxy,10,9,0.5095,0.9607569310907239,0.268811922418,1.1,27.5118,0.5,10000,4905,5095
irregular12,ga_tcheby_proxy,10,10,0.5042,0.9603240123033483,0.273884172925,1.115,27.8224,0.5,10000,4958,5042
irregular12,ga_tcheby_proxy,10,11,0.4992,0.960733580870607,0.27747449290200005,1.1223,28.0097,0.5,10000,5008,4992
irregular12,ga_tcheby_proxy,10,12,0.5085,0.96027140508647,0.271478106994,1.1072,27.7478,0.5,10000,4915,5085
irregular12,ga_tcheby_proxy,10,13,0.5062,0.9607217176994735,0.272745877674,1.1109,27.911,0.5,10000,4938,5062
irregular12,ga_tcheby_proxy,10,14,0.5092,0.9605393769356153,0.270528953652,1.1053,27.7854,0.5,10000,4908,5092
irregular12,ga_tcheby_proxy,10,15,0.5064,0.9605759898703404,0.27115700516400004,1.1046,27.6332,0.5,10000,4936,5064
irregular12,ga_tcheby_proxy,10,16,0.5093,0.9605991960464642,0.270028573464,1.1042,27.6467,0.5,10000,4907,5093
irregular12,ga_tcheby_proxy,10,17,0.511,0.9601112809815951,0.26884352898400005,1.0908,27.3949,0.5,10000,4890,5110
irregular12,ga_tcheby_proxy,10,18,0.4966,0.9605600943583632,0.27767035318,1.1182,28.029,0.5,10000,5034,4966
irregular12,ga_tcheby_proxy,10,19,0.5048,0.9607489781906301,0.272398968946,1.1053,27.7364,0.5,10000,4952,5048
